,gold,silver,platinum,palladium,gold_usd,silver_usd,platinum_usd,palladium_usd
0,4784.4,58.7,2183.31,5677.62,65.17,0.8,29.74,77.34
1,4759.17,60.67,2195.94,5662.27,64.83,0.83,29.91,77.13
2,4729.52,60.93,2179.19,5812.01,64.43,0.83,29.69,79.17
3,4667.69,59.68,2145.92,5813.41,63.58,0.81,29.23,79.19
6,4750.35,61.74,2210.56,5957.61,64.71,0.84,30.11,81.16
7,4752.55,61.97,2169.54,5943.94,64.74,0.84,29.55,80.97
8,4767.05,61.59,2138.03,5876.45,64.94,0.84,29.12,80.05
9,4785.15,62.23,2184.64,5874.97,65.18,0.85,29.76,80.03
11,4740.64,59.98,2142.65,5881.64,64.58,0.82,29.19,80.12
13,4772.77,61.96,2164.25,6003.24,65.02,0.84,29.48,81.78
14,4754.14,62.06,2199.02,6067.12,64.76,0.85,29.96,82.65
15,4736.09,60.22,2176.86,5968.41,64.52,0.82,29.65,81.3
16,4737.92,60.02,2169.37,5931.95,64.54,0.82,29.55,80.81
17,4740.23,59.08,2169.26,5925.29,64.57,0.8,29.55,80.72
18,4827.56,61.34,2244.03,5926.86,65.76,0.84,30.57,80.74
19,4771.68,60.07,2212.96,5814.99,65.0,0.82,30.15,79.21
21,4709.54,58.68,2233.59,5769.07,64.15,0.8,30.43,78.59
22,4770.62,60.1,2208.76,5848.66,64.99,0.82,30.09,79.67
23,4822.55,61.06,2239.11,5802.74,65.69,0.83,30.5,79.05
24,4681.68,57.9,2157.53,5632.84,63.77,0.79,29.39,76.73
26,4592.32,55.14,2081.83,5520.96,62.56,0.75,28.36,75.21
27,4635.01,57.92,2096.44,5479.23,63.14,0.79,28.56,74.64
29,4720.43,64.44,2261.33,5737.66,64.3,0.88,30.8,78.16
31,4680.61,64.66,2299.08,5717.49,63.76,0.88,31.32,77.88
32,4733.17,65.96,2363.21,5721.33,64.48,0.9,32.19,77.94
34,4665.67,64.58,2258.01,5582.56,63.56,0.88,30.76,76.05
